authors,bestsellers_rank,categories,description,length,height,width,format,id,image_url,isbn10,isbn13,lang,publication_date,rating_avg,rating_count,title,weight
[501239],887998,"[2519, 2524, 2564]","During World War I, while stationed overseas in France with the United States Army, Private James Donovan literally stumbles upon a small dog cowering on the streets of Paris. Named Rags for his disheveled appearance, the little stray quickly finds a home with Donovan and a place in his heart. Although the Army did not have an official canine division, Rags accompanies Donovan to the battlefield, making himself a useful companion delivering messages and providing a much-appreciated morale boost to the soldiers. News about Rags spreads and soon the little dog's battlefield exploits become the stuff of legend. But during a fierce battle near the end of the war, both Rags and Donovan are wounded. Severely injured, Donovan is sent back to the United States. And the little dog with the big heart refuses to leave his best friend's side.",239.0,287.0,10.0,2,9781585362585,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5853/9781585362585.jpg,1585362581,9781585362585,en,2014-08-02,4.24,253,Rags: Hero Dog of WWI : A True Story,454.0
[113391],385270,"[2563, 2595]","An introductory atlas for secondary schools, perfectly designed to support and motivate Key Stage 3 students in geographical and mapping skills. * Previously published as the award winning Collins Foundation World Atlas the Collins School Atlas has been revised and extended. It features 96 pages of clear, easy to read maps, satellite images, an atlas skills section and hundreds of statistics. * This introductory atlas for secondary school students aged 11-14 is designed to help students develop map, atlas and data handling skills. The content adheres closely to the requirements of the National Curriculum and incorporates results of classroom testing. * Its clear and accessible layout will motivate pupils of all abilities at Key Stage 3 and S1-S2. An easy to follow introductory 'map and atlas skills' section, useful for both teacher and pupil, is followed by clear, easy to read reference maps presented with locator maps, fact boxes and flags, descriptive text, detailed map keys and photos. For this new edition more detailed reference mapping of the British Isles is included. * Carefully selected focus country studies include mapping on contrasting regions and special topics.",224.0,315.0,7.0,1,9780007484416,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/0074/9780007484416.jpg,7484410,9780007484416,en,2013-02-14,3.67,3,Collins School Atlas : Collins School World Atlas [New Edition],470.0
"[12296, 12297, 12298]",79588,"[977, 1461, 3002]","Written by a team of consultants who combine modern business knowledge with decades of direct experience of working in the equine industry, this book bridges the gap between modern business theory and equine business practice. After providing overviews of the equestrian industry and the livery sector as a detailed example, Part I (Assessing a Business) sets out how to access the business environment, externally, competitively and with regard to its internal resources. Part 2 (Management) goes on to deal with resource management and how to go about strategic planning and marketing, concluding with an overall Business Plan. Part 3 sets out a series of case histories to illustrate the principles as discussed in Part 1 and 2. No other book applies a truly modern business approach to equine enterprise.The authors Sharon Eastwood, Anne-Lise Riis Jensen and Anna Jordon work together at Dark Horse Consultancy, a team of equine business consultants offering a wide range of advice and services to the industry.",172.0,248.0,10.0,1,9781405126069,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4051/9781405126069.jpg,140512606X,9781405126069,en,2005-12-27,3.5,2,Business Management for the Equine Industry,290.0
"[19489, 19490, 19491]",653019,"[2641, 3133, 3134, 639]","While religious history and intellectual history are both active, dynamic fields of contemporary historical inquiry, historians of ideas and historians of religion have too often paid little attention to one another's work. The intellectual historian Quentin Skinner urged scholars to attend to the contexts as well as the texts of authors, in order to 'see things their way.' Where religion is concerned, however, historians have often failed to heed this good advice; this book helps to remedy that failure. The editors and contributors urge intellectual historians to explore the religious dimensions of ideas and at the same time commend the methods of intellectual history to historians of religion. The introduction is followed by an essay by Brad Gregory reflecting on issues related to the study of the history of religious ideas. Subsequent essays by John Coffey, Anna Sapir Abulafia, Howard Hotson, Richard A. Muller, and Willem J. van Asselt explore the importance of religion in the intellectual history of Great Britain and Europe in the medieval and early modern periods. James Bradley shifts forward with his essay on religious ideas in Enlightenment England. Mark Noll and Alister Chapman deal respectively with British influence on the writing of religious history in America and with the relationship between intellectual history and religion in modern Britain. David Bebbington provides a concluding reflection on the challenges inherent in restoring the centrality of religion to intellectual history.",152.4,226.06,20.32,1,9780268022983,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2680/9780268022983.jpg,268022984,9780268022983,en,2009-10-15,4.0,14,Seeing Things Their Way : Intellectual History and the Return of Religion,430.91
[285018],181405,[287],"This volume contains:  Icecream - an unsettling look at British attitudes to America, and vice versa Mad Forest - Churchill's response to the Romanian Revolution The Skriker - a 'spellbinding' piece combining English folk tales with modern urban life Thyestes - a 'bleakly eloquent new translation of Seneca's Roman tragedy' (Sunday Times).  Plus two collaborative pieces combining word and dance:  Lives of the Great Poisoners - a libretto to music by Orlando Gough and choreography by Ian Spink A Mouthful of Birds - written with David Lan",130.0,200.0,27.0,1,9781854593429,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8545/9781854593429.jpg,1854593420,9781854593429,en,2001-04-01,4.12,50,Caryl Churchill Plays: Three,386.0
[238256],63025,"[334, 360, 2632, 361, 362]","In this beautifully written novel of historical fiction, bestselling author Susan Holloway Scott tells the story of Alexander Hamilton's wife, Eliza--a fascinating, strong-willed heroine in her own right and a key figure in one of the most gripping periods in American history.  ""Love is not easy with a man chosen by Fate for greatness . . .""  As the daughter of a respected general, Elizabeth Schuyler is accustomed to socializing with dignitaries and soldiers. But no visitor to her parents' home has affected her so strongly as Alexander Hamilton, a charismatic, ambitious aide to George Washington. They marry quickly, and despite the tumult of the American Revolution, Eliza is confident in her brilliant husband and in her role as his helpmate. But it is in the aftermath of war, as Hamilton becomes one of the country's most important figures, that she truly comes into her own.  In the new capital, Eliza becomes an adored member of society, respected for her fierce devotion to Hamilton as well as her grace. Behind closed doors, she astutely manages their expanding household, and assists her husband with his political writings. Yet some challenges are impossible to prepare for. Through public scandal, betrayal, personal heartbreak, and tragedy, she is tested again and again. In the end, it will be Eliza's indomitable strength that makes her not only Hamilton's most crucial ally in life, but also his most loyal advocate after his death, determined to preserve his legacy while pursuing her own extraordinary path through the nation they helped shape together.",141.0,207.0,31.0,1,9781496712523,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4967/9781496712523.jpg,1496712528,9781496712523,en,2017-10-15,3.96,4755,"I, Eliza Hamilton",412.0
[264943],352131,"[2734, 3181, 750, 2819, 2840]","This account explains how the Buddha's path of wisdom and loving kindness grew  out of the challenges he encountered in life. It explores enlightenment,  nirvana, and the Four Noble Truths, presenting a picture of the Buddha as a very  human figure whose success lay not in his perfection, but in his method of  positively utilizing the energy generated by personal suffering.",135.0,200.0,14.0,1,9781841193519,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8411/9781841193519.jpg,1841193518,9781841193519,en,2001-05-24,4.16,150,The Feeling Buddha : An Introduction to Buddhism,156.0
[307711],2008240,"[1456, 2831]","Fabric of the Soul, 8 Extraordinary Vessels guides and motivates a rich understanding of the relationships between mind and soul to physical ailments. This is the heart of extraordinary vessel theory - a tradition in Chinese medicine that yields knowledge about modern syndromes and illness affecting multiple body systems. Practitioners of both eastern and western traditions will benefit from this user - friendly resource guide. This is a resource book to enrich the study and practice of Chinese and Western medicine, Jin Shin Do(R), Shiatsu, Tai chi and Qigong. Fabric of the Soul is clearly written and illustrated with illuminating case studies that provide easy access to a complex theory. The author has over 25 years experience in the field and brings her broad experience to unravel the mystery of the extraordinary vessels. Fabric of the Soul also gives a clear presentation of a simple and powerful qigong practice. Cultivating a deep understanding of and insight into the extraordinary vessels provides a daily personal practice that empowers anyone to achieve optimum health of body mind, and spirit. This book is a valuable tool for practitioners, students and anyone interested in qi; life force energy.",178.0,254.0,19.0,1,9781432785109,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4327/9781432785109.jpg,1432785109,9781432785109,en,2012-09-19,5.0,1,Fabric of the Soul : 8 Extraordinary Vessels,635.0
[456478],177420,"[214, 219]",**THE SUNDAY TIMES BESTSELLER**,162.0,240.0,28.0,2,9781789463439,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7894/9781789463439.jpg,1789463432,9781789463439,en,2020-08-20,3.78,18,Not the Type : Finding your place in the real world,489.0
[8834],1189050,"[2734, 3196, 3203]",Evenings with Idries Shah collected by R. Easterling and Kamil Hafiz.,102.0,152.0,5.0,1,9781784792107,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7847/9781784792107.jpg,1784792101,9781784792107,en,2019-11-22,5.0,7,Evenings with Idries Shah,54.0
